,1,2,3,4,5,6
64,-0.2100468481541629,-0.2137540253312221,-0.26691097089445126,-0.30847350965601056,-0.36801825265159754,-0.4048462501452429
128,-0.13222215326504722,-0.09706888284239142,-0.0954910877336215,-0.10092793228687011,-0.1289946627199155,-0.1514948555636456
256,-0.10767583519700442,-0.044429535106397265,-0.009498127804526819,-0.0030883379951725,-0.012970861725949155,-0.023026402641247588
512,-0.09363153862128168,-0.009046496778606677,0.03686796885153934,0.05661436316203181,0.058422453301315146,0.054286521899084235
1024,-0.08352950361043632,0.00749153535839883,0.0580188436879563,0.0830390440568268,0.08849319911409156,0.08969574537872746
2048,-0.0820231259932585,0.01378279388886787,0.06771943777715385,0.09321754661610294,0.10005683765001984,0.10327925340329407
4096,-0.07896164006006247,0.016543509122984426,0.075467666471121,0.10115347138390239,0.10899305748231951,0.11207322508714652
8192,-0.07648237228139727,0.017476409198434937,0.0796185577569028,0.10535098059208343,0.11279919527439572,0.1160757584687219
16384,-0.07561772750091836,0.018430779809674586,0.08099088039931275,0.10781390945883668,0.11543274829820292,0.11868810041006392
