,5,6,7,8,9,10
64,-0.254785058803705,-0.13562965731432552,-0.07840294179996574,-0.05830873115961738,-0.05615036358246807,-0.052516920473773265
128,-0.35611309369503696,-0.28798242349825337,-0.20096220771376305,-0.15303926660320363,-0.1269940364563051,-0.10415685132108632
256,-0.2562309394488053,-0.35523623096880574,-0.3082908365420541,-0.2598541969633574,-0.20585558542577598,-0.1791175140719077
512,-0.1818463359724599,-0.2253702388648651,-0.32604370077903,-0.34661740669194546,-0.2637965405411293,-0.23023940778230423
1024,-0.14013714193858748,-0.13649777758377268,-0.18579826977380137,-0.26427267370778207,-0.3232675725563886,-0.29430256678472216
2048,-0.12088670254764997,-0.10312179144358707,-0.09457328582531492,-0.12412075568093242,-0.19398013574274797,-0.26453101857859973
4096,-0.11460379768774673,-0.08718945059197314,-0.05935636249965641,-0.050798378359383306,-0.07264593395235999,-0.13017814743429368
8192,-0.11136087458646841,-0.0791513193940673,-0.04600533660522619,-0.018437297581971403,-0.006099382585335783,-0.0220009016949518
16384,-0.11083222459007214,-0.07629423955378825,-0.03878749386923331,-0.0043948770677192505,0.022933948919596898,0.0341314508198648
