,5,6,7,8,9,10
64,-0.7781588695294278,-1.0,-1.0,-1.0,-1.0,-1.0
128,-0.3652050272608517,-0.6556022695710878,-1.0,-1.0,-1.0,-1.0
256,-0.12454385856021585,-0.313542140596958,-0.6729752712281775,-0.8813605623853205,-1.0,-1.0
512,-0.07049077656553003,-0.1127532059455064,-0.32391618559655716,-0.5255839983487304,-0.8802728513307789,-0.973401878572177
1024,-0.048376354391460506,-0.04982402703894201,-0.10786268298444678,-0.24386263537501687,-0.3998668845238611,-0.5450073511194091
2048,-0.0457831003475447,-0.03239185184200996,-0.03875675967785923,-0.07585952217239955,-0.1745777729179973,-0.2952015221002276
4096,-0.04732145021397824,-0.029841776295202797,-0.029096127921427576,-0.026870887243333228,-0.06644516914703362,-0.11059864612661324
8192,-0.04326315511933745,-0.022047712050186106,-0.01911409879727284,-0.020081874081019684,-0.017394772450136868,-0.038477390030460815
16384,-0.04671167286228478,-0.023850339163549044,-0.014788164437632752,-0.008851448735048072,-0.012691998670876385,-0.01328560689052149
