,1,2,3,4,5,6
64,-0.09233191991061494,-0.09720939503936574,-0.13036439978886116,-0.15468622165899654,-0.19197559959782834,-0.22436274800855768
128,-0.07127338364049572,-0.053130486011262745,-0.04669872675837952,-0.0491059246327614,-0.06725681824841531,-0.07004843505388614
256,-0.0619078363428764,-0.04276720722818271,-0.02460503055041962,-0.016856137891945084,-0.01935204924926518,-0.01887519890698729
512,-0.06410078796531236,-0.03611523375327859,-0.012986149309121597,-0.004229525187321458,0.0006326862709208849,0.0037212190732200563
1024,-0.064485183206798,-0.027292328176185696,-0.004984538198766899,0.003856468759109006,0.009045389706902803,0.012745761504361595
2048,-0.06354109491789996,-0.02516474192246793,-0.0032005887229906004,0.00538273303627302,0.011729183931645312,0.01572837942077169
4096,-0.066093800361802,-0.025727687834651895,-0.0025884803469203984,0.006468123396147576,0.01278786586907587,0.01678255547363256
8192,-0.06490091222213183,-0.025340122489451194,-0.0017963597965792667,0.007639786074446841,0.013723405776641537,0.017471365150078806
16384,-0.0651681975496156,-0.025712393736191667,-0.001972315175564943,0.008245689692905017,0.013956447074968436,0.0177971289718167
