,5,6,7,8,9,10
64,-0.604029825795682,-0.7893040678365073,-0.8745619550231118,-0.9291916253900458,-0.9328696637637911,-0.9379795727494676
128,-0.30726837405054486,-0.5681639309880365,-0.7455397559589786,-0.8365199903751159,-0.8776802372359107,-0.8991233092444033
256,-0.1766741720568104,-0.29259428301293816,-0.5029232752157085,-0.6205595511270009,-0.7553878583609016,-0.8351674967537281
512,-0.14048084299415137,-0.18193614406586597,-0.2977698328359699,-0.4213731351194262,-0.6577082664702455,-0.7109597840344359
1024,-0.1271244986586856,-0.12675002125209403,-0.16233122270763664,-0.24772766976340507,-0.36734509795505266,-0.4427194572782542
2048,-0.12826234250626586,-0.11612398699372822,-0.11597598894932079,-0.13805302785239115,-0.21377681537886914,-0.30858286026629184
4096,-0.1253315593802512,-0.11102992813855134,-0.10167985487975478,-0.09886924934414619,-0.11486948788747836,-0.17588685742875101
8192,-0.12442129159154006,-0.10922375478692481,-0.0958942227306409,-0.08493101007326405,-0.07993396094768626,-0.09054091894026577
16384,-0.12442975116357001,-0.10728343157487763,-0.09306478619164735,-0.07852722390467665,-0.06820820512132378,-0.06257864052766197
