,5,6,7,8,9,10
64,0.0,0.0,0.0,0.0,0.0,0.0
128,-0.23803169958904044,0.0,0.0,0.0,0.0,0.0
256,-0.15507363122136103,-0.23783633097480136,-0.06447778963703592,0.0,0.0,0.0
512,-0.05220276189296097,-0.12622153209109727,-0.2520734385163683,-0.24668838788081834,0.0,0.0
1024,-0.005050818332320656,-0.02233652311725659,-0.11548565577893284,-0.19146661371248427,-0.2547770700636942,-0.06931519608848646
2048,0.0,-0.008608984097104477,-0.008762589688717903,-0.04657212247864945,-0.1152655952727298,-0.1687126398399238
4096,0.0,0.0005118349280171519,-0.0011547093172854517,0.005335365853658569,-0.009303699279767652,-0.06676038103534843
8192,0.0,0.004555808656036442,-0.003961905535680432,0.006223591107242521,0.0068888324273345125,-0.007818006320557847
