,5,6,7,8,9
64,-0.5229192305129253,-0.7919594590634609,-0.8639899446869869,-0.911547598002702,-0.9141931675997977
128,-0.2882040454806165,-0.4876067383737867,-0.743011784635613,-0.8293671753951921,-0.8640117903841656
256,-0.12370666576681921,-0.2552433363002827,-0.44342206801608103,-0.5289567510730012,-0.746820468492581
512,-0.07207501340848117,-0.13000911898888795,-0.26898746873498286,-0.4055936844033739,-0.6490428436681549
1024,-0.059626915173084515,-0.06579291523173317,-0.11361152739819091,-0.23005268309849994,-0.36046438295101985
2048,-0.06051013959242505,-0.051323564248381116,-0.05442834632892459,-0.09680638283913308,-0.20060178036570223
4096,-0.059026682108063125,-0.04768957215694592,-0.040311370264957784,-0.042363930588310963,-0.07824630353983329
