MNXM10267	5homeprazole	M_5homeprazole_c;M_5homeprazole_e	C17H19N3O4S		0	bigg:5homeprazole;bigg:M_5homeprazole
MNXM1028	O-acetyl-(R)-carnitine	M_acrn_c;M_acrn_m;M_acrn_x	C9H17NO4	203.2356	0	chebi:12711;chebi:15960;chebi:21936;chebi:57589;chebi:73024;chebi:7669;bigg:M_acrn;bigg:acrn;deprecated:MNXM90485;kegg:C02571;lipidmaps:LMFA07070050;metacyc:O-ACETYLCARNITINE;reactome:390287;sabiork:2450;seed:cpd01682
MNXM103	cholesterol	M_chsterol_c;M_chsterol_e;M_chsterol_g;M_chsterol_l;M_chsterol_m;M_chsterol_r	C27H46O	386.6535	0	chebi:13982;chebi:16113;chebi:23204;chebi:3659;chebi:41564;bigg:M_chsterol;bigg:chsterol;deprecated:MNXM16679;deprecated:MNXM89605;hmdb:HMDB00067;hmdb:HMDB00507;hmdb:HMDB62453;kegg:C00187;kegg:D00040;lipidmaps:LMST01010001;metacyc:CHOLESTEROL;reactome:163586;reactome:171095;reactome:171149;reactome:174672;reactome:176478;reactome:193156;reactome:193384;reactome:193840;reactome:216762;reactome:8848047;sabiork:1964;seed:cpd00160;slm:000000287
MNXM1030	(2R,3S)-2-methylcitrate(3-)	M_2mcit_c;M_2mcit_m	C7H7O7	203.1279	-3	chebi:10860;chebi:11592;chebi:11618;chebi:1203;chebi:15598;chebi:19630;chebi:19695;chebi:19696;chebi:30835;chebi:30836;bigg:2mcit;bigg:M_2mcit;deprecated:MNXM9861;hmdb:HMDB00379;hmdb:HMDB03610;kegg:C02225;lipidmaps:LMFA01050442;sabiork:2387;seed:cpd01501;seed:cpd24620
MNXM10347	5adtststerones	M_5adtststerones_c;M_5adtststerones_e	C19H29O5S		-1	bigg:5adtststerones;bigg:M_5adtststerones
MNXM1037	5-guanidino-2-oxopentanoate	M_5g2oxpt_x	C6H11N3O3	173.1698	0	chebi:12129;chebi:1249;chebi:18253;chebi:19740;chebi:20572;chebi:2060;chebi:28116;chebi:58489;bigg:5g2oxpt;bigg:M_5g2oxpt;deprecated:MNXM14333;hmdb:HMDB04225;hmdb:HMDB06815;kegg:C03771;metacyc:CPD-824;sabiork:6844;seed:cpd02364;seed:cpd03528
MNXM1043	decanoate	M_dca_c;M_dca_x	C10H19O2	171.2572	-1	chebi:125804;chebi:23570;chebi:23572;chebi:27689;chebi:30813;chebi:41906;chebi:4347;hmdb:HMDB00511;kegg:C01571;lipidmaps:LMFA01010010;metacyc:CPD-3617;sabiork:2296;seed:cpd01107;slm:000000855
MNXM10441	Eaflatoxin	M_eaflatoxin_c;M_eaflatoxin_e	C17H12O7		0	bigg:M_eaflatoxin;bigg:eaflatoxin
MNXM10471	Decanedioyl-CoA	M_sebcoa_c;M_sebcoa_x	C31H47N7O19P3S	946.729	-5	chebi:76316;chebi:76345;bigg:M_sebcoa;bigg:sebcoa;seed:cpd16607
MNXM10472	9-cis-retinoate	M_CE1617_c;M_CE1617_r	C20H27O2	299.4277	-1	chebi:50648;chebi:63793;chebi:78630;bigg:CE1617;bigg:M_CE1617;deprecated:MNXM5587;deprecated:MNXM92054;hmdb:HMDB02369;hmdb:HMDB12874;kegg:C15493;kegg:D02815;lipidmaps:LMPR01090022;lipidmaps:LMPR01090023;metacyc:CPD-13549;reactome:5362520;sabiork:23496;seed:cpd11177
MNXM1055	(24S)-hydroxycholesterol	M_xol24oh_r	C27H46O2	402.6529	0	chebi:34310;deprecated:MNXM90018;kegg:C13550;lipidmaps:LMST01010019;metacyc:CPD-7239;reactome:192060;reactome:193717;sabiork:28534;seed:cpd09461;slm:000389790
MNXM105630	sulfite	M_so3_c	O3S	80.064	-2	chebi:13367;chebi:15139;chebi:17137;chebi:17359;chebi:26837;chebi:29214;chebi:33543;chebi:45548;chebi:48854;chebi:5598;chebi:9344;bigg:M_so3;bigg:so3;deprecated:MNXM109100;deprecated:MNXM81;deprecated:MNXM83053;deprecated:MNXM89975;envipath:32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/compound/2bf998e0-031f-4353-bbd0-d9c0af36460e;envipath:4fd7f3e0-dd25-43ac-9453-dda3e52396e4/compound/0382072e-fc0c-41a7-be8d-fce140ecf836;hmdb:HMDB00240;hmdb:HMDB01033;hmdb:HMDB03008;hmdb:HMDB34829;kegg:C00094;kegg:C11481;metacyc:H2SO3;metacyc:HSO3;metacyc:SO3;sabiork:3059;seed:cpd00081
MNXM1057	(5-hydroxyindol-3-yl)acetaldehyde	M_5hoxindact_c;M_5hoxindact_m	C10H9NO2	175.184	0	chebi:20583;chebi:2070;chebi:50157;bigg:5hoxindact;bigg:M_5hoxindact;deprecated:MNXM2198;deprecated:MNXM90346;hmdb:HMDB04073;kegg:C05634;metacyc:5-HYDROXYINDOLE_ACETALDEHYDE;reactome:380598;reactome:500604;sabiork:8021;seed:cpd03345
MNXM1058	(3R)-hydroxybutanoyl-CoA	M_3hbcoa__R_m	C25H38N7O18P3S	849.594	-4	chebi:10879;chebi:10984;chebi:15452;chebi:18667;chebi:323;chebi:57315;deprecated:MNXM10023;deprecated:MNXM90432;deprecated:MNXM90894;hmdb:HMDB01166;hmdb:HMDB02383;kegg:C03561;lipidmaps:LMFA07050148;lipidmaps:LMFA07050213;metacyc:CPD-650;seed:cpd02234;seed:cpd16898;slm:000389933
MNXM105848	O-3-methylbutanoyl-(R)-carnitine	M_ivcrn_c;M_ivcrn_e	C12H23NO4	245.3153	0	chebi:70819;chebi:73025;bigg:M_ivcrn;bigg:ivcrn;deprecated:MNXM58394;hmdb:HMDB00688;kegg:C20826;lipidmaps:LMFA07070076;lipidmaps:LMFA07070077
