,name,formula,mw,chebi,hmdb,kegg,lipidmaps,seed,metacyc,sabiork,reactome,mnxm,bigg
nmn,NMN C11H14N2O8P,C11H14N2O8P,333.2118,10433;12397;13409;14646;14647;14648;14649;16171;18201;22850;25522;7557,HMDB00229;HMDB59645,C00455,,cpd00355,NICOTINAMIDE_NUCLEOTIDE,,8869353;8940067,MNXM355,nmn_c;M_nmn;nmn
nmptrc,N-Methylputrescine,C5H16N2,104.1928,12610;17166;21771;58039;7323,HMDB03661;HMDB60258,C02723,,cpd01766,CPD-394,6322,,MNXM2704,nmptrc_c;M_nmptrc;nmptrc
nmthsrtn,N-Methylserotonin,C11H15N2O,191.2491,32707;48294;7325,HMDB04369,C06212,,cpd03716,,8462,,MNXM6350,nmthsrtn_c
no,Nitric oxide,NO,30.0061,14657;16480;25546;44452;7583,HMDB03378,C00533;D00074,,,NITRIC-OXIDE,2079,,MNXM228,no_c;M_no;no
no2,Nitrite,NO2,46.006,14658;16301;25567;44396;7585,HMDB02786,C00088,,cpd00075,NITRITE,3058,1222379,MNXM107,no2_c;M_no2;no2
normete__L,L-Normetanephrine,C9H14NO3,184.2118,6277,,C05589,,cpd03318,,,,MNXM3674,normete__L_c;M_normete__L;normete__L
npthl,Naphthalene,C10H8,128.1705,14638;16482;25469;44619;7472,HMDB29751,C00829,,cpd00618,NAPHTHALENE,5258,,MNXM2408,npthl_c
npthld,"Naphthalene-1,2-diol",C10H8O2,160.1693,14639;17435;18895;49554;7473,HMDB60497,C03012,,cpd01932,NAPHTHALENE-12-DIOL,2624,,MNXM842,npthld_c;M_npthld;npthld
nrpphr,Norepinephrine,C8H12NO3,170.1852,1;14668;18357;25592;258884;43725;72587,HMDB00216,C00547;D00076,,cpd00429,NOREPINEPHRINE,2089,209789;351597;374935,MNXM31869,nrpphr_c;M_nrpphr;nrpphr
nrpphrsf,Sulfate derivative of norepinephrine,C8H11NO6S,,,,,,,,,,MNXM12967,nrpphrsf_c;M_nrpphrsf;nrpphrsf
nrvnc,Nervonic acid,C24H45O2,365.6134,32392;44244;44247;7526,HMDB02368,C08323,LMFA01030092,cpd05238,CPD-14268,10422,,MNXM6358,nrvnc_c
nrvnccoa,Nervonyl coenzyme A,C45H76N7O17P3S,,,,,,,,,,MNXM5851,nrvnccoa_c;M_nrvnccoa;nrvnccoa
nrvnccrn,Nervonyl carnitine,C31H59NO4,,,,,,,,,,MNXM8942,nrvnccrn_c;M_nrvnccrn;nrvnccrn
ntm2amep,N-Trimethyl-2-aminoethylphosphonate,C5H13NO3P,,,,,,,,,,MNXM91664,ntm2amep_c;M_ntm2amep;ntm2amep
nwharg,N-(omega)-Hydroxyarginine,C6H15N4O3,191.2078,21486;28538;43088;47819;47821;47822;60107;60111,,C20330,,cpd23915,CPD-13518,,8936443,MNXM63049,nwharg_c
o2,O2 O2,O2,31.9988,10745;13416;15379;23833;25366;26689;27140;29097;29793;30491;44742;7860,HMDB01377,C00007;D00003,,cpd00007,OXYGEN-MOLECULE,1264,1131511;113533;113534;113535;113685;1236709;189461;29368;351593;352327;5668566,MNXM4,o2_c;M_o2;o2
o2s,Superoxide anion,O2,31.9993,15143;18421;26839;7710,HMDB02168,C00704,,,SUPER-OXIDE,5191,1222461,MNXM330,o2s_c;M_o2s;o2s
oaa,Oxaloacetate,C4H2O5,130.0568,12820;14703;16452;24958;24959;25731;25734;29049;30744;7812,HMDB00223,C00036,LMFA01170120,cpd00032,OXALACETIC_ACID,1915,113587;6810070;76213,MNXM46,oaa_c;M_oaa;oaa
oagd3_cho,9-O-Acetylated GD3,C55H90N3O30R,,61730,,G00169,,,,,,MNXM39611,oagd3_cho_c;M_oagd3_cho;oagd3_cho
oagt3_cho,9-O-Acetylated GT3,C65H106N4O37RCO,,,,G00170,,,,,,MNXM162912,oagt3_cho_c;M_oagt3_cho;oagt3_cho
ocACP,Octanoyl-ACP (n-C8:0ACP),C19H35N2O8PRS,,,,,,,,,,MNXM90185,ocACP_c;M_ocACP;ocACP
